Category,Rule,Description,Severity,Weight,Keywords
Images,File Size Warning,Images under 200KB flagged if larger,High,7,image file size optimization
Images,File Size Critical,Images under 500KB critical if larger,Critical,10,image file size critical
Images,Format WebP,WebP AVIF formats preferred over JPEG PNG,Medium,6,webp avif image format
Images,Dimensions Set,Width height attributes set for CLS prevention,High,9,image dimensions cls
Images,Lazy Loading,Lazy loading attribute on below-fold images,High,8,lazy loading images
Images,ImageObject Schema,Important images have ImageObject schema markup,Medium,6,imageobject schema markup
Images,Broken Image Links,No broken or missing image URLs,High,8,broken image links

Core Web Vitals,LCP Issue Detection,Flag potential LCP problems large hero images,Medium,6,lcp detection optimization
Core Web Vitals,Render-Blocking Resources,Identify render-blocking scripts styles,High,8,render blocking resources
Core Web Vitals,INP Issue Detection,Flag heavy JS without async defer,Medium,6,inp javascript optimization
Core Web Vitals,CLS Prevention,Image dimensions CSS containment prevent cuts,High,8,cls prevention layout shift
Core Web Vitals,Font Optimization,Web fonts loaded efficiently with font-display,Medium,6,font loading optimization
