Category,Rule,Description,Priority,Severity,Keywords
Security,Mixed content resolved,No mixed content warnings (HTTP on HTTPS),high,critical,"mixed content security https http warning"
Security,Security headers,Implement security headers (CSP HSTS X-Frame),medium,major,"security headers csp hsts xframe clickjacking"
Security,No sensitive data in URLs,Avoid exposing sensitive data in URL parameters,medium,major,"url parameter sensitive data privacy security"
Accessibility,Color contrast 4.5:1,Text should have minimum 4.5:1 contrast ratio,medium,major,"accessibility contrast wcag color text"
Accessibility,Semantic HTML,Use semantic HTML5 elements,medium,major,"semantic html5 accessibility structure aria"
Accessibility,Keyboard navigation,Site should be fully keyboard navigable,medium,major,"keyboard navigation accessibility tab focus"
Accessibility,ARIA labels,Use ARIA labels where appropriate,low,minor,"aria label accessibility screen reader"
International,hreflang tags,Use hreflang tags for multi-language sites,high,major,"hreflang international multilingual language country"
International,Correct lang attribute,HTML lang attribute should match page language,medium,major,"lang attribute language html international"
International,Currency/timezone localization,Localize currency timezone and formats,low,minor,"localization currency timezone format international"
